2019
    Thursday, January 24  10:30 - 11:45 CS151 Lecture
    Saturday, March 16  21:30 - 22:30 Dinner
    Sunday, March 17  21:30 - 22:30 Dinner
    Monday, March 18  11:45 - 13:15 CS157C Lecture
    Monday, March 18  13:30 - 14:30 Lunch Meeting
    Tuesday, March 19  10:30 - 11:45 CS151 Lecture
    Wednesday, March 20  11:45 - 13:15 CS157C Lecture
    Wednesday, March 20  13:30 - 14:30 Lunch Meeting
    Thursday, March 21  10:30 - 11:45 CS151 Lecture
    Friday, March 22  18:30 - 20:30 Course Committee Meeting
    Saturday, March 23  21:30 - 22:30 Dinner
    Sunday, March 24  21:30 - 22:30 Dinner
    Monday, March 25  11:45 - 13:15 CS157C Lecture
    Monday, March 25  13:30 - 14:30 Lunch Meeting
    Tuesday, March 26  10:30 - 11:45 CS151 Lecture
    Wednesday, March 27  11:45 - 13:15 CS157C Lecture
    Wednesday, March 27  13:30 - 14:30 Lunch Meeting
    Thursday, March 28  10:30 - 11:45 CS151 Lecture
    Friday, March 29  18:30 - 20:30 Course Committee Meeting
    Saturday, March 30  21:30 - 22:30 Dinner
    Sunday, March 31  21:30 - 22:30 Dinner
    Monday, April 1  11:45 - 13:15 CS157C Lecture
    Monday, April 1  13:30 - 14:30 Lunch Meeting
    Tuesday, April 2  10:30 - 11:45 CS151 Lecture
    Wednesday, April 3  11:45 - 13:15 CS157C Lecture
    Wednesday, April 3  13:30 - 14:30 Lunch Meeting
    Thursday, April 4  10:30 - 11:45 CS151 Lecture
    Friday, April 5  18:30 - 20:30 Course Committee Meeting
    Saturday, April 6  21:30 - 22:30 Dinner
    Sunday, April 7  21:30 - 22:30 Dinner
    Monday, April 8  11:45 - 13:15 CS157C Lecture
    Monday, April 8  13:30 - 14:30 Lunch Meeting
    Tuesday, April 9  10:30 - 11:45 CS151 Lecture
    Wednesday, April 10  11:45 - 13:15 CS157C Lecture
    Wednesday, April 10  13:30 - 14:30 Lunch Meeting
    Thursday, April 11  10:30 - 11:45 CS151 Lecture
    Friday, April 12  18:30 - 20:30 Course Committee Meeting
    Saturday, April 13  21:30 - 22:30 Dinner
    Sunday, April 14  21:30 - 22:30 Dinner
    Monday, April 15  11:45 - 13:15 CS157C Lecture
    Monday, April 15  13:30 - 14:30 Lunch Meeting
    Tuesday, April 16  10:30 - 11:45 CS151 Lecture
    Wednesday, April 17  11:45 - 13:15 CS157C Lecture
    Wednesday, April 17  13:30 - 14:30 Lunch Meeting
    Thursday, April 18  10:30 - 11:45 CS151 Lecture
    Friday, April 19  18:30 - 20:30 Course Committee Meeting
    Saturday, April 20  21:30 - 22:30 Dinner
    Sunday, April 21  21:30 - 22:30 Dinner
    Monday, April 22  11:45 - 13:15 CS157C Lecture
    Monday, April 22  13:30 - 14:30 Lunch Meeting
    Tuesday, April 23  10:30 - 11:45 CS151 Lecture
    Wednesday, April 24  11:45 - 13:15 CS157C Lecture
    Wednesday, April 24  13:30 - 14:30 Lunch Meeting
    Thursday, April 25  10:30 - 11:45 CS151 Lecture
    Friday, April 26  18:30 - 20:30 Course Committee Meeting
    Saturday, April 27  21:30 - 22:30 Dinner
    Sunday, April 28  21:30 - 22:30 Dinner
    Monday, April 29  11:45 - 13:15 CS157C Lecture
    Monday, April 29  13:30 - 14:30 Lunch Meeting
    Tuesday, April 30  10:30 - 11:45 CS151 Lecture
    Wednesday, May 1  11:45 - 13:15 CS157C Lecture
    Wednesday, May 1  13:30 - 14:30 Lunch Meeting
    Thursday, May 2  10:30 - 11:45 CS151 Lecture
    Friday, May 3  18:30 - 20:30 Course Committee Meeting
    Saturday, May 4  21:30 - 22:30 Dinner
    Sunday, May 5  21:30 - 22:30 Dinner
    Monday, May 6  11:45 - 13:15 CS157C Lecture
    Monday, May 6  13:30 - 14:30 Lunch Meeting
    Tuesday, May 7  10:30 - 11:45 CS151 Lecture
    Wednesday, May 8  11:45 - 13:15 CS157C Lecture
    Wednesday, May 8  13:30 - 14:30 Lunch Meeting
    Thursday, May 9  10:30 - 11:45 CS151 Lecture
    Friday, May 10  18:30 - 20:30 Course Committee Meeting
    Saturday, May 11  21:30 - 22:30 Dinner
    Sunday, May 12  21:30 - 22:30 Dinner
    Monday, May 13  11:45 - 13:15 CS157C Lecture
    Monday, May 13  13:30 - 14:30 Lunch Meeting
    Tuesday, May 28  9:30 - 11:30 CS151 Midterm
    Friday, July 26  22:45 - 23:30 Party
    Saturday, September 28  9:30 - 11:30 Interview at Apple
    Thursday, October 3  12:15 - 14:00 Hair appt
    Thursday, October 3  16:15 - 17:00 Dentist appt

